icsd_id,formula,Final_label,group name,color,x,y
628901,Ta2 Cu1.32 S4,47,All other groups,#BCBD22,-37.297592,-1.3769038
32108,Cu6 S6,21,All other groups,#BCBD22,4.199138,-11.458027
658785,Ta1 Re1 Cu0.58 Se1.2 S2.8,-1,No group,#17becf,-40.3836,3.3574734
795,Na3.08 S2 O7.998,-1,No group,#17becf,10.842962,-32.159027
43323,Cu4.02 S2,-1,No group,#17becf,14.308938,19.310259
628899,Ta2 Cu2 S4,47,All other groups,#BCBD22,-37.19588,-1.5500458
108404,Ti1 Cu0.5 S2,48,All other groups,#BCBD22,-40.04225,4.7225075
28286,Cu2 Ag2 C6 S6 N10,-1,No group,#17becf,33.487484,-20.517244
627341,Fe8.04 Cu3.96 S12,-1,No group,#17becf,-9.074708,8.953682
100956,Cu1.3334 Si0.6666 S2,0,Diamond like,#1f77b4,7.703086,54.46408
628636,Cu1 P1 S2,0,Diamond like,#1f77b4,6.621882,54.83753
606336,Al0.286 Cd1.428 Cu0.286 S2,0,Diamond like,#1f77b4,8.655308,59.131573
195280,Ta4.346 Cu1.04 S8,49,All other groups,#BCBD22,-40.443146,-0.86232346
421077,Cu14 P24 S18 Br14,-1,No group,#17becf,32.970615,-10.123751
619754,Cd0.5 In0.75 Cu0.75 S2,0,Diamond like,#1f77b4,8.35718,60.382572
156238,Cu12 Ge2 W2 S16,-1,No group,#17becf,5.0711246,6.2517676
628845,Cu1.34 Si0.66 S2,0,Diamond like,#1f77b4,7.709829,54.469944
195281,Ta4.36 Cu0.92 S8,49,All other groups,#BCBD22,-40.51746,-0.26322153
163489,In1 Cu1 S2,0,Diamond like,#1f77b4,8.318889,60.712223
628027,Mn0.5 In0.5 Cu0.5 S2,0,Diamond like,#1f77b4,0.3106425,41.277084
32578,Cu2 C2 S2 N2,50,All other groups,#BCBD22,31.411709,-18.123
628076,Zn1.2 In0.4 Cu0.4 S2,0,Diamond like,#1f77b4,7.9613924,59.991123
