icsd,formula,PTR_label,LoStOP_label,Final PTR,Final cosine,Final Euclid,material_id,formation_energy,band_gap,bulk_modulus
606762,Al8 Cr12 Cu4 S32,-1,34,23,0,1,,,,
9936,Cr10.8 Cu8 Sn5.2 Se14.4 S17.6,0,34,23,0,1,,,,
156092,Ti12 Cu8 Ni4 S32,0,34,23,0,1,,,,
68269,Li13.196 Zr16 Cu3.104 S32,-1,35,-1,8,20,,,,
53310,Mn10 Cu4 Sn10 S32,-1,34,23,0,1,,,,
35269,Ti16 Cu8 S32,0,34,23,0,1,mp-3951,-1.530152325,0,
625746,Cr16 Cu6 Ni2 S32,0,34,23,0,1,,,,
9979,Cr12.08 Cu8 Sn3.92 Se14.4 S17.6,0,34,23,0,1,,,,
53292,Zr10 In6 Cu6 S32,0,34,23,0,1,,,,
21936,Mg7.92 Zr16 Cu0.504 S32,18,35,37,8,20,,,,
190441,V16 Cu8 S32,0,34,23,0,1,,,,
35267,V16 Cu8 S32,0,34,23,0,1,mp-5178,-1.102941873,0,
41901,Cu8 Rh16 Se6.4 S25.6,0,34,23,0,1,,,,
625745,Cr16 Cu7.2 Ni0.8 S32,0,34,23,0,1,,,,
41426,Ti6.4 Cr9.6 Cu8 S32,0,34,23,0,1,,,,
622457,Cr16 Co5.6 Cu2.4 S32,0,34,23,0,1,,,,
51614,Fe2.88 Cu5.472 Sn13.12 S32,0,34,23,0,1,,,,
603549,Mn0.8 Cr16 Cu7.2 S32,0,34,23,0,1,,,,
21930,Mg2.4 Zr16 Cu0.504 S32,-1,35,37,8,20,,,,
27027,Zr16 Cu8 S32,0,34,23,0,1,mp-14025,-1.687687797,0,
11550,Mg3.99904 Cu8 Sn11.99904 S31.99808,0,34,23,0,1,,,,
103053,Mg12 Cu4 Sn8 S32,-1,34,23,0,1,,,,
53317,Cu4 Ni12 Sn8 S32,0,34,23,0,1,,,,
625772,Cr16 Cu8 Se9.6 S22.4,-1,34,23,0,1,,,,
53261,Fe8 Cu4 Rh12 S32,16,34,23,0,1,,,,
603544,Cr16 Cd0.8 Cu7.2 S32,0,34,23,0,1,,,,
93383,Cu8 Ni4 Sn12 S32,0,34,23,0,1,,,,
52937,Cr16 Co4.4 Cu3.6 Se12 S20,0,34,23,0,1,,,,
625725,Cr16 Fe4 Cu4 Se1.6 S30.4,0,34,23,0,1,,,,
603576,Mn5.6 Cr16 Cu2.4 S32,0,34,23,0,1,,,,
